sprint,candidate,agreement_percent,committed_tokens_per_block,draft_work_seconds,verifier_seconds,verifier_gib_per_block,total_candidate_seconds,registered_gate_seconds,modeled_gain_percent,outcome,evidence_ref,evidence_archive,evidence_sha256
16,kimi_linear_k4,53.906,2.0909,,,,,,15.0,stopped_before_prototype,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint16-results-2026-08-03,gn100-sprint16-evidence-2026-08-03.tar.gz,2ddbd12a0689bb61fe5400472f0faa593aa7546c0518278eb6b96f504f512688
16,resident_draft_cache_rent,,,,,,,,-9.93,0.8450_to_0.7362_target_tok_s,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint16-results-2026-08-03,gn100-sprint16-evidence-2026-08-03.tar.gz,2ddbd12a0689bb61fe5400472f0faa593aa7546c0518278eb6b96f504f512688
16,representative_exact_reference_block,,,,4.956,,,1.9835,,verifier_over_budget,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint16-results-2026-08-03,gn100-sprint16-evidence-2026-08-03.tar.gz,2ddbd12a0689bb61fe5400472f0faa593aa7546c0518278eb6b96f504f512688
17,k3_reduced_expert_self_draft,76.63,3.8209,115.111,1.5,,,,40.51,hypothetical_verifier_only_no_integration,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint17-selfdraft-results-2026-08-06,sprint17-k3-selfdraft-evidence-20260806.tar.gz,e11623f07cb7381652519b65b60bca5e2cec4f6aee921247260c3fedfc56465a
18,exact_batch_verifier_campaign,,,,4.470,26.459,421.947,263.439,,failed_end_to_end_gate,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint18-exact-verifier-results-2026-08-06,sprint18-exact-verifier-evidence-20260806.tar.gz,3b3ef93dfffa7ab095807ec6caeb16994d7f4be83a834d9dde7982146f3942df
