campaign,arm,n,work_scope,tokens_per_second,mean_wall_w,peak_wall_w,total_j_per_generated_token,marginal_j_per_generated_token,evidence_ref,evidence_archive,evidence_sha256
task0,idle_no_model,,600-second calibration,,51.8903,56.3,,,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidated-results-2026-08-07,consolidation-task0-power-evidence-20260806.tar.gz,94bcfbc0c37205a93a8436966579f44df8abd03f8908b07d03987d9a35bfe750
task0,loaded_idle,,600-second calibration,,56.9807,66.4,,,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidated-results-2026-08-07,consolidation-task0-power-evidence-20260806.tar.gz,94bcfbc0c37205a93a8436966579f44df8abd03f8908b07d03987d9a35bfe750
task0,cpu16,1,preliminary 16-token full request,0.124966,126.8430,131.3,991.575,559.0491,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidated-results-2026-08-07,consolidation-task0-power-evidence-20260806.tar.gz,94bcfbc0c37205a93a8436966579f44df8abd03f8908b07d03987d9a35bfe750
task0,cuda16,1,preliminary 16-token full request,0.172185,132.0957,141.3,777.15,436.2460,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidated-results-2026-08-07,consolidation-task0-power-evidence-20260806.tar.gz,94bcfbc0c37205a93a8436966579f44df8abd03f8908b07d03987d9a35bfe750
task2,loaded_idle,,same-session resident server,,63.6552,72.6,,,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidation-task2-power-2026-08-07,waste-gn100-consolidation-task2-power-evidence-2026-08-07.tar.gz,c0dbf9bde2b66da5a8dd0134e1864bd2b893c45b5f0cb6d8cb1dda799b978437
task2,cpu,2,fresh-server 74-prompt plus 64-generated full request,0.1112263,114.3501,123.6,1018.3900,455.7804,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidation-task2-power-2026-08-07,waste-gn100-consolidation-task2-power-evidence-2026-08-07.tar.gz,c0dbf9bde2b66da5a8dd0134e1864bd2b893c45b5f0cb6d8cb1dda799b978437
task2,cuda,2,fresh-server 74-prompt plus 64-generated full request,0.2124936,130.4874,141.9,609.6094,314.5125,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidation-task2-power-2026-08-07,waste-gn100-consolidation-task2-power-evidence-2026-08-07.tar.gz,c0dbf9bde2b66da5a8dd0134e1864bd2b893c45b5f0cb6d8cb1dda799b978437
task2,prefill,2,1102-prompt plus 16-generated full request,0.0052571,134.3374,145.2,25347.1425,13445.1514,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidation-task2-power-2026-08-07,waste-gn100-consolidation-task2-power-evidence-2026-08-07.tar.gz,c0dbf9bde2b66da5a8dd0134e1864bd2b893c45b5f0cb6d8cb1dda799b978437
task2,warm_family_root_hit,2,exact 192-token root restore plus 64-generated request,0.3841923,131.9420,139.1,338.3119,177.7430,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-consolidation-task2-power-2026-08-07,waste-gn100-consolidation-task2-power-evidence-2026-08-07.tar.gz,c0dbf9bde2b66da5a8dd0134e1864bd2b893c45b5f0cb6d8cb1dda799b978437
